order_id,customer_id,order_date,delivery_time_min,status,total_amount_xaf,city,quartier,product_category,courier_id,order_hour,order_day_of_week,order_day,order_month
100040,CUST11976,2022-05-18 00:00:00,140.2,en_retard,8351.0,Douala,Bonanjo,boisson,47,0,Wednesday,Wednesday,2022-05
100041,CUST17134,2023-09-28 12:14:00,45.7,en_cours,6426.0,Douala,Mboppi,produit frais,32,12,Thursday,Thursday,2023-09
100042,CUST11252,2024-12-04 10:16:00,43.3,livré,7876.0,Yaounde,Nkomo,boisson,18,10,Friday,Wednesday,2024-12
100043,CUST10545,2025-02-13 16:55:00,31.3,livré,9672.0,Douala,Village,restauration,36,16,Thursday,Thursday,2025-02
100044,CUST10982,2025-07-03 05:10:00,76.2,en_retard,15618.0,Douala,Bonamoussadi,restauration,10,5,Friday,Thursday,2025-07
100045,CUST11659,2025-02-01 07:08:00,68.6,livré,37223.0,Yaounde,Nkomo,pharmacie,16,7,Saturday,Saturday,2025-02
100046,CUST10314,2023-02-20 18:57:00,58.4,livré,1905.0,Yaounde,Nkol-Eton,hygiene,10,18,Monday,Monday,2023-02
100047,CUST17145,2022-12-02 17:08:00,197.5,en_retard,28940.0,Douala,Bonapriso,cosmetique,25,17,Saturday,Friday,2022-12
100048,CUST10741,2023-12-29 00:00:00,180.5,en_retard,11593.0,Yaounde,Tsinga,boisson,21,0,Friday,Friday,2023-12
100049,CUST17195,2024-05-02 18:11:00,47.5,livré,9540.0,Bafoussam,Ndiengdam,boisson,34,18,Thursday,Thursday,2024-05
100050,CUST12021,2023-12-14 11:01:00,24.0,livré,50000.0,Douala,Ndogpassi,inconnu,15,11,Thursday,Thursday,2023-12
100051,CUST11611,2023-04-26 20:01:00,114.3,en_retard,22004.0,Douala,Ndogpassi,epicerie,18,20,Wednesday,Wednesday,2023-04
100052,CUST11970,2025-08-01 19:51:00,73.4,livré,,Yaounde,Nkol-Eton,inconnu,13,19,Wednesday,Friday,2025-08
100053,CUST10267,2025-01-16 00:00:00,24.3,livre,4769.0,Yaounde,Bastos,boisson,22,0,Thursday,Thursday,2025-01
100054,CUST11576,2025-03-05 00:00:00,32.2,livré,26264.0,Douala,Bonanjo,inconnu,8,0,Wednesday,Wednesday,2025-03
100055,CUST10759,2023-10-08 15:24:00,29.9,annulé,1835.0,Douala,Bonabéri,restauration,44,15,Sunday,Sunday,2023-10
100056,CUST11255,2025-01-30 19:27:00,230.2,en_retard,21026.0,Douala,Ndokotti,cosmetique,30,19,Thursday,Thursday,2025-01
100057,CUST11725,2024-10-07 14:18:00,52.1,livré,3489.0,Yaounde,Tsinga,produit frais,38,14,Monday,Monday,2024-10
100058,CUST11278,2024-07-14 00:00:00,5.0,annulé,7892.0,Bafoussam,Tamdja,epicerie,23,0,Sunday,Sunday,2024-07
100059,CUST17172,2023-10-13 16:46:00,8.4,annulé,2575.0,Bafoussam,Bamendzi,restauration,41,16,Friday,Friday,2023-10
100060,CUST11832,2023-06-09 00:00:00,61.7,livré,35548.0,Yaounde,Obili,cosmetique,4,0,Friday,Friday,2023-06
100061,CUST10740,2024-02-03 18:27:00,291.1,en_retard,9778.0,Douala,Ndog-Bong,restauration,19,18,Saturday,Saturday,2024-02
100062,CUST17162,2024-09-10 08:46:00,45.7,livré,4030.0,Douala,Ndokotti,produit frais,38,8,Wednesday,Tuesday,2024-09
100063,CUST11086,2024-11-27 21:22:00,32.7,livré,86987.0,Bafoussam,Baham-Route,vetement,27,21,Wednesday,Wednesday,2024-11
100064,CUST11642,2024-06-30 13:58:00,58.1,livre,1808.0,Yaounde,Mvog-Mbi,hygiene,26,13,Sunday,Sunday,2024-06
100065,CUST90687,2023-11-26 12:18:00,40.7,livré,-477.0,Yaounde,Briqueterie,vetement,45,12,Sunday,Sunday,2023-11
100066,CUST17162,2024-02-02 00:00:00,33.4,livré,195654.0,Douala,Logbessou,electronique,45,0,Friday,Friday,2024-02
100067,CUST11653,2023-10-31 12:32:00,45.7,livré,36341.0,Douala,Makepe,vetement,17,12,Tuesday,Tuesday,2023-10
100068,CUST11776,2023-03-25 00:00:00,39.4,livré,42207.0,Bafoussam,Djeleng,inconnu,35,0,Saturday,Saturday,2023-03
100069,CUST11995,2024-04-19 14:16:00,31.4,livré,18000.0,Bafoussam,Baham-Route,restauration,24,14,Friday,Friday,2024-04
100070,CUST11656,2025-01-20 09:59:00,126.7,en_retard,6402.0,Douala,Yassa,epicerie,9,9,Monday,Monday,2025-01
100071,CUST17340,2024-08-15 12:04:00,41.0,livré,7338.0,Yaounde,Nlongkak,restauration,16,12,Thursday,Thursday,2024-08
100072,CUST10123,2024-09-02 16:17:00,42.1,livré,47367.0,Douala,Nkolmesseng,vetement,19,16,Monday,Monday,2024-09
100073,CUST10016,2023-03-21 00:00:00,45.7,livré,4046.0,Yaounde,Mvog-Mbi,hygiene,44,0,Tuesday,Tuesday,2023-03
100074,CUST17122,2024-04-12 11:25:00,107.9,en_retard,18000.0,Douala,Ngodi-Bakoko,restauration,12,11,Friday,Friday,2024-04
100075,CUST10367,2024-04-19 18:53:00,45.7,livré,5059.0,Douala,Nyalla,inconnu,40,18,Friday,Friday,2024-04
100076,CUST10123,2025-01-23 08:38:00,54.3,livré,5372.0,Bafoussam,Bamendzi,restauration,6,8,Thursday,Thursday,2025-01
100077,CUST11718,2025-03-01 00:17:00,31.3,livré,70762.0,Douala,Village,pharmacie,10,0,Friday,Saturday,2025-03
100078,CUST17301,2024-02-27 15:54:00,45.7,livré,7203.0,Bafoussam,Baham-Route,hygiene,14,15,Tuesday,Tuesday,2024-02
100079,CUST10735,2023-05-19 18:27:00,50.0,livré,4085.0,Douala,Ndokotti,hygiene,27,18,Friday,Friday,2023-05
100080,CUST10149,2023-04-05 19:04:00,57.8,livré,12000.0,Yaounde,Mokolo,produit frais,7,19,Wednesday,Wednesday,2023-04
100081,CUST11830,2024-04-22 12:26:00,53.0,livre,11028.0,Yaounde,Obili,inconnu,18,12,Monday,Monday,2024-04
100082,CUST90163,2023-11-27 16:23:00,38.2,livré,18214.0,Douala,Ndogpassi,inconnu,20,16,Monday,Monday,2023-11
100083,CUST10234,2024-05-29 16:07:00,55.1,livré,8414.0,Yaounde,Nkomo,restauration,43,16,Wednesday,Wednesday,2024-05
100084,CUST10618,2023-12-08 17:51:00,88.3,livré,7733.0,Yaounde,Nkol-Eton,papeterie,4,17,Friday,Friday,2023-12
100085,CUST11648,2024-05-07 00:00:00,103.6,en_retard,14618.0,Yaounde,Elig-Edzoa,inconnu,22,0,Tuesday,Tuesday,2024-05
100086,CUST10333,2024-09-12 19:20:00,282.5,en_retard,72389.0,Yaounde,Madagascar,vetement,31,19,Monday,Thursday,2024-09
100087,CUST10107,2022-12-19 13:02:00,16.1,livré,16500.0,Bafoussam,Baham-Route,restauration,34,13,Monday,Monday,2022-12
100088,CUST11239,2024-05-25 20:23:00,45.7,en_retard,31996.0,Bafoussam,Bamougoum,inconnu,35,20,Saturday,Saturday,2024-05
100089,CUST10222,2024-04-09 14:37:00,124.3,en_retard,8849.0,Douala,Bali,produit frais,11,14,Tuesday,Tuesday,2024-04
100090,CUST10019,2025-03-01 10:06:00,6.0,annulé,4574.0,Douala,Ndokotti,produit frais,38,10,Saturday,Saturday,2025-03
100091,CUST10296,2022-10-24 06:07:00,36.4,livré,24714.0,Douala,PK8,epicerie,41,6,Monday,Monday,2022-10
100092,CUST11130,2024-07-22 11:19:00,44.1,livré,8640.0,Douala,Mboppi,produit frais,8,11,Monday,Monday,2024-07
100093,CUST10626,2022-04-15 06:16:00,15.3,annulé,45971.0,Yaounde,Bastos,articles menagers,8,6,Friday,Friday,2022-04
100094,CUST11983,2023-05-29 18:22:00,45.7,livré,3074.0,Douala,New-Bell,produit frais,47,18,Monday,Monday,2023-05
100095,CUST17307,2023-12-09 14:07:00,40.5,livré,2999.0,Douala,Nkolmesseng,hygiene,11,14,Saturday,Saturday,2023-12
100096,CUST90175,2024-04-23 21:21:00,22.7,livré,7643.0,Bafoussam,Centre Ville,restauration,2,21,Tuesday,Tuesday,2024-04
100097,CUST17306,2024-09-02 07:50:00,69.5,livré,3072.0,Douala,Cité des Palmiers,hygiene,22,7,Friday,Monday,2024-09
100098,CUST10998,2023-02-23 17:28:00,53.4,livré,4273.0,Yaounde,Ngoa-Ekele,papeterie,11,17,Thursday,Thursday,2023-02
100099,CUST90916,2025-02-06 17:23:00,78.4,livré,118709.0,Douala,Yassa,electronique,29,17,Thursday,Thursday,2025-02
100100,CUST10500,2023-10-10 11:03:00,45.7,en_retard,13426.0,Yaounde,Essos,epicerie,7,11,Tuesday,Tuesday,2023-10
100101,CUST10395,2024-01-20 00:00:00,22.5,livré,9159.0,Douala,Bepanda,epicerie,3,0,Saturday,Saturday,2024-01
100102,CUST10918,2022-08-30 15:10:00,92.3,en_retard,14457.0,Yaounde,Mendong,restauration,18,15,Tuesday,Tuesday,2022-08
100103,CUST17360,2025-01-06 00:00:00,50.2,livré,2818.0,Yaounde,Ngoa-Ekele,produit frais,25,0,Monday,Monday,2025-01
100104,CUST10793,2023-03-23 18:38:00,88.5,livré,16597.0,Yaounde,Nlongkak,cosmetique,1,18,Thursday,Thursday,2023-03
100105,CUST17303,2023-09-23 18:08:00,45.7,en_cours,10181.0,Douala,Makepe,produit frais,34,18,Saturday,Saturday,2023-09
100106,CUST11341,2023-11-19 17:19:00,39.0,livré,7750.0,Bafoussam,Bamendzi,boisson,6,17,Sunday,Sunday,2023-11
100107,CUST17295,2023-07-03 00:00:00,269.2,en_retard,120000.0,Douala,Cité des Palmiers,vetement,12,0,Tuesday,Monday,2023-07
100108,CUST10183,2025-02-21 00:00:00,45.7,annulé,,Yaounde,Obili,articles menagers,5,0,Friday,Friday,2025-02
100109,CUST11112,2023-12-18 00:00:00,34.7,livré,27071.0,Yaounde,Santa Barbara,pharmacie,39,0,Monday,Monday,2023-12
100110,CUST11560,2025-06-01 07:58:00,45.7,livré,,Bafoussam,Djeleng,inconnu,21,7,Monday,Sunday,2025-06
100111,CUST17157,2023-04-26 23:55:00,22.6,livre,9492.0,Douala,Ndogpassi,boisson,30,23,Wednesday,Wednesday,2023-04
100112,CUST11223,2025-02-28 07:05:00,78.9,livré,30958.0,Douala,New-Bell,pharmacie,24,7,Friday,Friday,2025-02
100113,CUST11986,2024-11-04 20:57:00,37.0,livré,36882.0,Yaounde,Mokolo,articles menagers,42,20,Thursday,Monday,2024-11
100114,CUST10655,2025-01-11 00:00:00,170.0,en_retard,18000.0,Yaounde,Elig-Edzoa,restauration,9,0,Saturday,Saturday,2025-01
100115,CUST11849,2023-12-22 00:00:00,45.7,annulé,34396.0,Douala,Village,vetement,43,0,Friday,Friday,2023-12
100116,CUST11279,2024-12-31 16:03:00,75.3,en_retard,33209.0,Bafoussam,Centre Ville,inconnu,47,16,Tuesday,Tuesday,2024-12
100117,CUST11793,2024-11-22 00:00:00,45.7,en_retard,45000.0,Yaounde,Elig-Edzoa,cosmetique,11,0,Friday,Friday,2024-11
100118,CUST11734,2022-07-12 09:50:00,121.0,en_retard,25862.0,Douala,Cité des Palmiers,inconnu,4,9,Wednesday,Tuesday,2022-07
100119,CUST10570,2024-03-13 19:34:00,54.0,livré,5763.0,Yaounde,Mokolo,produit frais,33,19,Wednesday,Wednesday,2024-03
100120,CUST17189,2024-12-31 15:12:00,30.7,livré,31014.0,Yaounde,Mokolo,inconnu,40,15,Tuesday,Tuesday,2024-12
100121,CUST11335,2023-01-23 15:23:00,27.6,livré,20357.0,Douala,Bali,inconnu,41,15,Monday,Monday,2023-01
100122,CUST10259,2024-02-13 16:59:00,39.7,livré,45000.0,Yaounde,Omnisport,cosmetique,20,16,Tuesday,Tuesday,2024-02
100123,CUST11109,2022-08-08 00:00:00,31.5,livré,14714.0,Douala,Makepe,epicerie,45,0,Monday,Monday,2022-08
100124,CUST12025,2025-02-21 13:01:00,42.0,livré,38851.0,Yaounde,Biyem-Assi,cosmetique,28,13,Friday,Friday,2025-02
100125,CUST11385,2025-01-02 19:37:00,59.3,livré,16765.0,Douala,Nyalla,inconnu,15,19,Saturday,Thursday,2025-01
100126,CUST10728,2024-06-18 11:49:00,103.1,en_retard,21537.0,Bafoussam,Kamkop,inconnu,22,11,Tuesday,Tuesday,2024-06
100127,CUST11805,2023-08-24 00:00:00,23.1,livré,37347.0,Douala,Bali,inconnu,22,0,Thursday,Thursday,2023-08
100128,CUST11090,2024-11-21 20:19:00,63.6,en_retard,34679.0,Bafoussam,Ngouache,inconnu,3,20,Thursday,Thursday,2024-11
100129,CUST11633,2022-09-11 11:47:00,45.7,en_cours,10225.0,Yaounde,Jouvence,epicerie,42,11,Wednesday,Sunday,2022-09
100130,CUST10727,2024-06-06 00:00:00,47.2,livré,348388.0,Douala,Ngodi-Bakoko,electronique,27,0,Thursday,Thursday,2024-06
100131,CUST17184,2024-05-13 00:00:00,7.6,annulé,15529.0,Douala,Beedi,cosmetique,5,0,Monday,Monday,2024-05
100132,CUST11469,2025-04-01 20:28:00,33.2,livré,11837.0,Bafoussam,Baham-Route,papeterie,27,20,Saturday,Tuesday,2025-04
100133,CUST11843,2022-08-09 10:36:00,45.7,annulé,2937.0,Bafoussam,Pefura,produit frais,46,10,Thursday,Tuesday,2022-08
100134,CUST10897,2024-12-12 19:00:00,59.0,livré,4733.0,Douala,Nyalla,produit frais,47,19,Thursday,Thursday,2024-12
100135,CUST11418,2024-09-02 00:00:00,89.2,en_retard,17626.0,Douala,Cité des Palmiers,epicerie,21,0,Monday,Monday,2024-09
100136,CUST10144,2022-11-11 10:34:00,45.0,livré,32059.0,Yaounde,Mendong,inconnu,33,10,Friday,Friday,2022-11
100137,CUST11671,2024-02-09 21:19:00,37.0,livré,41079.0,Douala,Akwa,inconnu,43,21,Monday,Friday,2024-02
100138,CUST11063,2024-12-13 18:47:00,50.8,livré,6271.0,Yaounde,Madagascar,hygiene,33,18,Friday,Friday,2024-12
100139,CUST11655,2024-04-11 20:18:00,51.2,livré,53356.0,Yaounde,Ngoa-Ekele,articles menagers,30,20,Monday,Thursday,2024-04
100140,CUST11829,2023-05-24 19:08:00,45.5,livré,4632.0,Bafoussam,Fomekoua,boisson,38,19,Wednesday,Wednesday,2023-05
100141,CUST11731,2024-10-19 00:00:00,229.0,en_retard,45000.0,Yaounde,Nkol-Eton,cosmetique,47,0,Saturday,Saturday,2024-10
100142,CUST11156,2023-11-04 18:24:00,45.7,en_retard,19175.0,Bafoussam,Lekie,inconnu,15,18,Tuesday,Saturday,2023-11
100143,CUST11666,2025-01-28 00:00:00,100.9,en_retard,14623.0,Yaounde,Elig-Edzoa,papeterie,11,0,Tuesday,Tuesday,2025-01
100144,CUST11245,2023-07-18 13:00:00,93.8,en_retard,10052.0,Douala,PK12,inconnu,13,13,Tuesday,Tuesday,2023-07
100145,CUST11472,2023-12-03 11:38:00,19.6,annule,12357.0,Bafoussam,Centre Ville,restauration,33,11,Sunday,Sunday,2023-12
100146,CUST10906,2022-07-15 13:56:00,34.1,livré,63970.0,Douala,Ndogpassi,vetement,19,13,Friday,Friday,2022-07
100147,CUST10544,2023-09-04 00:00:00,27.3,livré,6436.0,Douala,Bonapriso,hygiene,3,0,Monday,Monday,2023-09
100148,CUST17327,2024-07-24 10:06:00,36.0,livre,14053.0,Douala,Village,restauration,7,10,Wednesday,Wednesday,2024-07
100149,CUST11709,2025-03-10 17:18:00,86.7,livré,10910.0,Douala,Beedi,inconnu,44,17,Monday,Monday,2025-03
100150,CUST11483,2023-04-22 00:00:00,145.0,en_retard,9377.0,Yaounde,Bastos,restauration,19,0,Saturday,Saturday,2023-04
100151,CUST10231,2024-05-20 00:00:00,45.7,livré,202457.0,Douala,Nyalla,electronique,7,0,Monday,Monday,2024-05
100152,CUST10071,2023-07-15 17:45:00,192.9,en_retard,5570.0,Yaounde,Tsinga,papeterie,33,17,Saturday,Saturday,2023-07
100153,CUST10040,2024-12-28 09:48:00,45.2,livré,7145.0,Yaounde,Essos,produit frais,45,9,Saturday,Saturday,2024-12
100154,CUST11466,2024-05-08 22:20:00,45.7,livré,38065.0,Douala,New-Bell,inconnu,7,22,Wednesday,Wednesday,2024-05
100155,CUST12061,2024-02-12 13:47:00,30.8,livré,50000.0,Bafoussam,Tougang,inconnu,14,13,Monday,Monday,2024-02
100156,CUST10353,2023-06-23 11:40:00,25.8,livré,10240.0,Yaounde,Madagascar,restauration,24,11,Friday,Friday,2023-06
100157,CUST10499,2024-04-10 15:40:00,11.0,annulé,12158.0,Douala,Nkolmesseng,papeterie,8,15,Wednesday,Wednesday,2024-04
100158,CUST10736,2023-03-14 23:40:00,97.8,en_retard,4966.0,Douala,Bonapriso,papeterie,34,23,Tuesday,Tuesday,2023-03
100159,CUST10101,2023-02-26 22:14:00,45.7,livré,12783.0,Yaounde,Etoudi,epicerie,5,22,Sunday,Sunday,2023-02
100160,CUST11178,2025-03-03 07:14:00,44.9,livré,5327.0,Douala,Village,produit frais,33,7,Monday,Monday,2025-03
100161,CUST10157,2023-06-09 09:34:00,104.6,en retard,149796.0,Yaounde,Mokolo,electronique,34,9,Wednesday,Friday,2023-06
100162,CUST10377,2024-09-26 16:24:00,25.4,livré,361084.0,Douala,Bepanda,electronique,33,16,Thursday,Thursday,2024-09
100163,CUST10333,2024-06-30 10:06:00,19.4,livré,8318.0,Bafoussam,Lekie,boisson,5,10,Sunday,Sunday,2024-06
100164,CUST10291,2023-06-12 20:22:00,43.3,livré,50000.0,Yaounde,Bastos,inconnu,4,20,Monday,Monday,2023-06
100165,CUST10663,2024-05-25 15:40:00,29.3,livré,272409.0,Bafoussam,Mossap,electronique,15,15,Saturday,Saturday,2024-05
100166,CUST11977,2022-08-13 10:33:00,40.2,livré,16163.0,Douala,Logbessou,pharmacie,34,10,Saturday,Saturday,2022-08
100167,CUST10062,2024-10-13 00:00:00,106.9,en_retard,11760.0,Yaounde,Nkomo,boisson,36,0,Sunday,Sunday,2024-10
100168,CUST10275,2023-12-05 20:43:00,25.0,livré,3659.0,Douala,PK12,hygiene,3,20,Tuesday,Tuesday,2023-12
100169,CUST10124,2025-01-10 11:03:00,25.5,livré,9234.0,Bafoussam,Pefura,produit frais,19,11,Friday,Friday,2025-01
100170,CUST12079,2023-08-04 18:48:00,18.4,annule,4310.0,Yaounde,Nkol-Eton,produit frais,9,18,Friday,Friday,2023-08
100171,CUST11777,2023-05-01 00:00:00,45.7,livré,16010.0,Douala,Bonabéri,epicerie,31,0,Monday,Monday,2023-05
100172,CUST11250,2024-09-19 05:45:00,50.0,livré,54600.0,Douala,Beedi,articles menagers,19,5,Thursday,Thursday,2024-09
100173,CUST10509,2024-03-06 11:56:00,38.0,livré,9995.0,Douala,Village,boisson,35,11,Monday,Wednesday,2024-03
100174,CUST10545,2023-12-10 00:00:00,49.4,livré,2601.0,Douala,Makepe,hygiene,43,0,Sunday,Sunday,2023-12
100175,CUST10347,2023-07-17 07:21:00,242.2,en_retard,26884.0,Douala,Bonamoussadi,pharmacie,26,7,Monday,Monday,2023-07
100176,CUST10028,2025-02-25 19:31:00,224.6,en_retard,9254.0,Douala,PK8,restauration,40,19,Tuesday,Tuesday,2025-02
100177,CUST10289,2022-10-04 14:28:00,44.5,livré,4436.0,Douala,New-Bell,inconnu,7,14,Tuesday,Tuesday,2022-10
100178,CUST90829,2022-05-03 00:00:00,74.9,livré,5940.0,Douala,Cité des Palmiers,produit frais,37,0,Tuesday,Tuesday,2022-05
100179,CUST10571,2023-04-07 11:54:00,24.2,livre,25586.0,Bafoussam,Ndiengdam,cosmetique,8,11,Friday,Friday,2023-04
100180,CUST10166,2024-04-12 18:04:00,61.4,livré,27717.0,Douala,Mboppi,inconnu,30,18,Wednesday,Friday,2024-04
100181,CUST11837,2024-12-21 16:31:00,7.7,annulé,33996.0,Yaounde,Tsinga,cosmetique,24,16,Saturday,Saturday,2024-12
100182,CUST10326,2022-11-03 19:38:00,74.2,livré,55698.0,Yaounde,Nkomo,articles menagers,14,19,Friday,Thursday,2022-11
100183,CUST11535,2024-04-14 00:00:00,63.0,livré,12000.0,Douala,Bepanda,produit frais,43,0,Sunday,Sunday,2024-04
100184,CUST10218,2023-07-18 17:37:00,45.7,livré,,Douala,Ndokotti,vetement,45,17,Tuesday,Tuesday,2023-07
100185,CUST10121,2024-05-25 23:28:00,45.7,en_cours,,Douala,Ndokotti,hygiene,21,23,Saturday,Saturday,2024-05
100186,CUST11723,2022-06-08 10:35:00,45.7,livré,34278.0,Douala,Bonabéri,cosmetique,26,10,Saturday,Wednesday,2022-06
100187,CUST11390,2023-01-27 13:52:00,14.9,annule,47182.0,Yaounde,Nlongkak,articles menagers,21,13,Friday,Friday,2023-01
100188,CUST10769,2024-08-08 20:30:00,15.3,annulé,3782.0,Bafoussam,Kamkop,boisson,41,20,Thursday,Thursday,2024-08
100189,CUST10575,2023-10-26 00:00:00,27.6,annulé,8417.0,Douala,Beedi,epicerie,29,0,Thursday,Thursday,2023-10
100190,CUST11863,2023-07-17 00:00:00,45.7,livré,14947.0,Douala,Bonabéri,restauration,38,0,Monday,Monday,2023-07
100191,CUST11436,2024-04-19 05:24:00,32.1,livré,14081.0,Douala,Makepe,restauration,24,5,Friday,Friday,2024-04
100192,CUST10522,2023-01-11 18:16:00,63.3,livré,9241.0,Douala,Deido,inconnu,44,18,Wednesday,Wednesday,2023-01
100193,CUST10934,2023-12-11 18:32:00,45.1,livré,10330.0,Bafoussam,Ngouache,boisson,36,18,Monday,Monday,2023-12
100194,CUST11780,2023-09-18 18:07:00,45.7,livré,41693.0,Bafoussam,Lekie,articles menagers,1,18,Monday,Monday,2023-09
100195,CUST11024,2022-12-03 00:00:00,47.3,livré,25000.0,Yaounde,Nkomo,epicerie,28,0,Saturday,Saturday,2022-12
100196,CUST11187,2023-08-07 20:56:00,88.5,en_retard,3052.0,Douala,Ndogpassi,hygiene,11,20,Monday,Monday,2023-08
100197,CUST10632,2025-01-03 08:53:00,89.6,livré,19243.0,Douala,Akwa,cosmetique,33,8,Friday,Friday,2025-01
